Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
12/22/2022,6570,6575,6407,6490.649902,6490.649902,849706
12/21/2022,6693.899902,6693.899902,6505,6526.700195,6526.700195,622390
12/20/2022,6660,6698.850098,6585,6642.850098,6642.850098,607716
12/19/2022,6600.100098,6705,6597,6687,6687,659559
12/16/2022,6590,6695.299805,6560,6596.899902,6596.899902,880233
12/15/2022,6632,6714,6604,6625.399902,6625.399902,857706
12/14/2022,6658,6688.549805,6626.600098,6655.200195,6655.200195,678283
12/13/2022,6507,6648,6507,6620.100098,6620.100098,958636
12/12/2022,6508.100098,6539,6392,6506.5,6506.5,1100048
12/9/2022,6602.5,6618,6490,6517.450195,6517.450195,1131292
12/8/2022,6680,6680,6560,6581.950195,6581.950195,1137784
12/7/2022,6724.950195,6724.950195,6601,6625.200195,6625.200195,961027
12/6/2022,6674.399902,6735,6632,6698.549805,6698.549805,840980
12/5/2022,6674.549805,6699,6632,6660.450195,6660.450195,1029250
12/2/2022,6730.200195,6741.950195,6647,6675.75,6675.75,1438602
12/1/2022,6754.600098,6770,6707,6747.75,6747.75,981616
11/30/2022,6735,6754.200195,6678,6720.950195,6720.950195,1482831
11/29/2022,6775,6808.899902,6721,6734.149902,6734.149902,681860
11/28/2022,6729,6832.799805,6728.549805,6777.450195,6777.450195,604054
11/25/2022,6770,6778,6675,6747.5,6747.5,859058
11/24/2022,6813.950195,6839.850098,6737.299805,6771.350098,6771.350098,754611
11/23/2022,6718.5,6805,6690,6780.049805,6780.049805,893667
11/22/2022,6680.25,6727.75,6660.299805,6685.049805,6685.049805,958769
11/21/2022,6747,6747,6610.350098,6679.100098,6679.100098,1071748
11/18/2022,6909.899902,6928,6750,6791.5,6791.5,1327689
11/17/2022,6870,6950,6832,6895.049805,6895.049805,733944
11/16/2022,7011,7034.850098,6852.600098,6895.049805,6895.049805,1336204
11/15/2022,7035.149902,7062.399902,6981,7025.75,7025.75,719521
11/14/2022,7054.899902,7107,7001.049805,7025.799805,7025.799805,855060
11/11/2022,7149,7157.850098,6995,7051.450195,7051.450195,1233342
11/10/2022,7158,7165,6964.549805,6975.100098,6975.100098,1008182
